date,DSPIC96
9/1/2013,12431.5
10/1/2013,12395.1
11/1/2013,12426.2
12/1/2013,12452.7
1/1/2014,12513.3
2/1/2014,12579.5
3/1/2014,12648.6
4/1/2014,12699
5/1/2014,12745
6/1/2014,12797.2
7/1/2014,12835.1
8/1/2014,12896.3
9/1/2014,12938.8
10/1/2014,12995.3
11/1/2014,13062.8
12/1/2014,13150.5
1/1/2015,13224.7
2/1/2015,13271.8
3/1/2015,13233.7
4/1/2015,13262.8
5/1/2015,13284.7
6/1/2015,13292.7
7/1/2015,13324.1
8/1/2015,13354.9
9/1/2015,13392
10/1/2015,13419.8
11/1/2015,13417.7
12/1/2015,13482
1/1/2016,13531.6
2/1/2016,13546.1
3/1/2016,13547.2
4/1/2016,13522
5/1/2016,13515.1
6/1/2016,13521.5
7/1/2016,13567.1
8/1/2016,13578.9
9/1/2016,13608.3
10/1/2016,13627.7
11/1/2016,13657.8
12/1/2016,13685.3
1/1/2017,13742.1
2/1/2017,13792.3
3/1/2017,13851.3
4/1/2017,13869.6
5/1/2017,13962.6
6/1/2017,13963.5
7/1/2017,13999.9
8/1/2017,14015.8
9/1/2017,14030.9
10/1/2017,14062.7
11/1/2017,14078.4
12/1/2017,14111.5
1/1/2018,14211.4
2/1/2018,14250.1
3/1/2018,14298.3
4/1/2018,14329.5
5/1/2018,14373.2
6/1/2018,14416.2
7/1/2018,14467
8/1/2018,14509.6
9/1/2018,14498.8
10/1/2018,14527.7
11/1/2018,14550.4
12/1/2018,14719.3
1/1/2019,14714.3
2/1/2019,14742.1
3/1/2019,14732.5
4/1/2019,14678
5/1/2019,14673.5
6/1/2019,14686.4
7/1/2019,14703.7
8/1/2019,14777.8
9/1/2019,14807.9
10/1/2019,14821.4
11/1/2019,14885.9
12/1/2019,14844.1
1/1/2020,14976.5
2/1/2020,15068.8
3/1/2020,14844
4/1/2020,17170.7
5/1/2020,16333
6/1/2020,16057.3
7/1/2020,16151.9
8/1/2020,15553.9
9/1/2020,15643.4
10/1/2020,15568.4
11/1/2020,15366.5
12/1/2020,15393.8
1/1/2021,16988.6
2/1/2021,15548.2
3/1/2021,19119.5
4/1/2021,16146.9
5/1/2021,15669.5
6/1/2021,15603.3
7/1/2021,15735.2
8/1/2021,15720
9/1/2021,15466.3
10/1/2021,15472.4
11/1/2021,15470.8
12/1/2021,15442.7
1/1/2022,15163.5
2/1/2022,15173.6
3/1/2022,15119.6
4/1/2022,15154.4
5/1/2022,15144.8
