date,Housing_Price
1/1/2013,316.9
4/1/2013,321.76
7/1/2013,326.42
10/1/2013,329.03
1/1/2014,331.8
4/1/2014,338.21
7/1/2014,343.12
10/1/2014,345.9
1/1/2015,349.72
4/1/2015,355.42
7/1/2015,360.49
10/1/2015,363.4
1/1/2016,366.77
4/1/2016,373.64
7/1/2016,380.29
10/1/2016,383.27
1/1/2017,386.08
4/1/2017,394.76
7/1/2017,400.85
10/1/2017,404.19
1/1/2018,409.9
4/1/2018,417.45
7/1/2018,422.51
10/1/2018,423.99
1/1/2019,428.69
4/1/2019,435.84
7/1/2019,441.37
10/1/2019,445.3
1/1/2020,450.42
4/1/2020,454.83
7/1/2020,462.8
10/1/2020,473.02
1/1/2021,484.29
4/1/2021,511.22
7/1/2021,539.6
10/1/2021,557.93
1/1/2022,578.04
