date,PCE
6/1/2013,11318.5
7/1/2013,11346.8
8/1/2013,11376.9
9/1/2013,11413.9
10/1/2013,11465.2
11/1/2013,11531.3
12/1/2013,11558.6
1/1/2014,11543.7
2/1/2014,11615.4
3/1/2014,11695.2
4/1/2014,11737.4
5/1/2014,11778.6
6/1/2014,11838
7/1/2014,11879.2
8/1/2014,11958.8
9/1/2014,11964.9
10/1/2014,12035.5
11/1/2014,12058.4
12/1/2014,12067.6
1/1/2015,12036.5
2/1/2015,12083.1
3/1/2015,12132.2
4/1/2015,12170.3
5/1/2015,12233.6
6/1/2015,12270.3
7/1/2015,12327.5
8/1/2015,12359.3
9/1/2015,12356.4
10/1/2015,12362.3
11/1/2015,12397.5
12/1/2015,12432.8
1/1/2016,12452.1
2/1/2016,12526.3
3/1/2016,12506.8
4/1/2016,12586
5/1/2016,12624.4
6/1/2016,12701.7
7/1/2016,12720.6
8/1/2016,12749.8
9/1/2016,12806.8
10/1/2016,12828.1
11/1/2016,12853.6
12/1/2016,12962.9
1/1/2017,13015.1
2/1/2017,13034.7
3/1/2017,13089.6
4/1/2017,13127.7
5/1/2017,13128.7
6/1/2017,13176.8
7/1/2017,13198.3
8/1/2017,13241
9/1/2017,13365.1
10/1/2017,13394.8
11/1/2017,13495.7
12/1/2017,13601.8
1/1/2018,13620.1
2/1/2018,13657.2
3/1/2018,13725
4/1/2018,13809.3
5/1/2018,13872.1
6/1/2018,13912.9
7/1/2018,13962.6
8/1/2018,14014.5
9/1/2018,14030.7
10/1/2018,14119.6
11/1/2018,14187.8
12/1/2018,14050.6
1/1/2019,14104.4
2/1/2019,14117.9
3/1/2019,14244.4
4/1/2019,14329.3
5/1/2019,14372.2
6/1/2019,14425.7
7/1/2019,14487.4
8/1/2019,14536.4
9/1/2019,14564.7
10/1/2019,14607.9
11/1/2019,14667.6
12/1/2019,14686.3
1/1/2020,14769.9
2/1/2020,14785.1
3/1/2020,13762.2
4/1/2020,12021.8
5/1/2020,13058.1
6/1/2020,13889.3
7/1/2020,14129.2
8/1/2020,14270.5
9/1/2020,14481.7
10/1/2020,14546
11/1/2020,14467.3
12/1/2020,14389.5
1/1/2021,14857.9
2/1/2021,14699.6
3/1/2021,15458.9
4/1/2021,15618.7
5/1/2021,15624.4
6/1/2021,15802
7/1/2021,15814.9
8/1/2021,15991.1
9/1/2021,16088.9
10/1/2021,16309.5
11/1/2021,16390.9
12/1/2021,16242.3
1/1/2022,16543.3
2/1/2022,16635.8
3/1/2022,16831.2
4/1/2022,16923.9
5/1/2022,16956.6
