Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021
South Sudan,SSD,0,0,0,0,0,0,0
Sudan,SDN,0,0,0,0,0,0,0
Argentina,ARG,0,0,0,0,0,0,0
Iran,IRN,0,0,0,0,0,0,0
Haiti,HTI,0,0,0,0,0,0,0
Ethiopia,ETH,0,0,0,0,0,0,0
Turkey,TUR,7.67,7.78,11.14,16.33,15.18,12.28,19.6
Turkiye,TUR,7.670853648,7.775134153,11.14431108,16.3324639,15.17682157,12.27895745,19.59649269
Sierra Leone,SLE,6.693679279,10.88328586,18.2198092,16.03278985,14.80305857,13.4469773,11.87270069
Nigeria,NGA,9.009387183,15.67534055,16.52353998,12.09473155,11.39679497,13.24602343,16.95284572
Pakistan,PAK,2.529328173,3.765119164,4.08537368,5.078057259,10.5783618,9.739993139,9.496210561
Guinea,GIN,10.82068212,8.172116963,8.91452597,9.826001808,9.470779373,10.60186,12.59706951
Malawi,MWI,21.86734755,21.71111321,11.54339392,12.42017811,9.370836056,8.625514697,0
Egypt,EGY,10.37049034,13.81360621,29.50660839,14.40146578,9.152799593,5.04493289,5.545743785
Zambia,ZMB,10.11059289,17.86973008,6.577311542,7.494571927,9.150316443,15.73258514,22.02123429
Myanmar,MMR,9.454171895,6.928825258,4.572536553,6.872328657,8.825066968,0,0
Ukraine,UKR,48.69986464,13.9127102,14.43832275,10.95185594,7.886717456,2.732492094,0
Uruguay,URY,8.666269871,9.639413476,6.218093826,7.606533604,7.881988709,9.756406361,7.747914023
Mongolia,MNG,5.726872247,0.742300726,4.310762541,6.812435942,7.304815975,3.693169228,7.098564181
Ghana,GHA,17.1499695,17.45463471,12.37192155,7.808765166,7.143640033,9.887289563,9.971088675
"Gambia, The",GMB,6.808454946,7.228792721,8.034189745,6.520968239,7.115676256,5.931276366,7.370347589
Tunisia,TUN,4.437371273,3.629399374,5.308848396,7.30759176,6.720075329,5.634151159,5.706350208
Madagascar,MDG,7.404191742,6.035758582,8.609050754,8.594229589,5.610514415,4.201793122,0
Belarus,BLR,13.53448976,11.83658077,6.031837252,4.872302206,5.59815595,5.548143575,9.460283896
Bangladesh,BGD,6.19428023,5.513525727,5.702070157,5.543621395,5.591996399,5.691074747,5.545654308
Nepal,NPL,7.868908956,8.79034332,3.627096107,4.061163388,5.568685478,5.052366553,4.087910459
Nicaragua,NIC,3.997379967,3.523173176,3.850671663,4.94723728,5.376289908,3.681813416,4.928413969
Kazakhstan,KAZ,6.665776115,14.54602379,7.440004373,6.019130966,5.245476796,6.749001838,0
Kenya,KEN,6.582174403,6.297157525,8.005722791,4.689819761,5.235859994,5.404814672,6.110909164
Lesotho,LSO,3.218445137,6.596504907,4.447699374,4.751803016,5.187083592,4.978096763,6.04774592
Georgia,GEO,4.003578207,2.134927139,6.035317253,2.615244714,4.852898217,5.20246489,9.566914338
Moldova,MDA,9.676240331,6.35930898,6.570229975,3.045053973,4.837783514,3.765971222,5.10641129
Russia,RUS,15.53440505,7.04244763,3.683329444,2.878297236,4.470366608,3.381659372,6.69445892
Russian Federation,RUS,15.53,7.04,3.68,2.88,4.47,3.38,6.69
Honduras,HND,3.15783118,2.724612233,3.934360844,4.347349378,4.365871598,3.46841178,4.480879634
South Africa,ZAF,4.54,6.57,5.18,4.52,4.12,3.21,4.61
Papua New Guinea,PNG,5.995957781,6.673728814,5.42204568,4.374489215,3.928672909,4.871673986,4.48359014
Jamaica,JAM,3.691542289,2.351021975,4.37839865,3.736638822,3.905100009,5.226777793,5.862782428
Romania,ROU,-0.594156437,-1.544796668,1.339021211,4.625484431,3.827854326,2.631073112,5.052328761
Brazil,BRA,9.03,8.74,3.45,3.66,3.73,3.21,8.3
India,IND,4.91,4.95,3.33,3.94,3.73,6.62,5.13
Namibia,NAM,3.394015384,6.728582346,6.145799811,4.291591053,3.722394144,2.209382369,3.616905301
Guatemala,GTM,2.388720328,4.448441999,4.424536552,3.751861867,3.69998398,3.214440622,4.261051274
Mexico,MEX,2.72,2.82,6.04,4.9,3.64,3.4,5.69
South Asia,SAS,4.158255891,4.171390211,4.520228675,3.331395164,3.628949659,5.691074747,5.545654308
South Asia (IDA & IBRD),TSA,4.158255891,4.171390211,4.520228675,3.331395164,3.628949659,5.691074747,5.545654308
Sri Lanka,LKA,3.768367831,3.958888466,7.704137679,2.135037737,3.528393582,6.153945084,7.014780712
Colombia,COL,4.990234275,7.514293228,4.312141032,3.240234138,3.525492736,2.524620535,3.495145631
Tanzania,TZA,5.58816953,5.174766293,5.318716052,3.494458489,3.46428058,3.290290628,0
Rwanda,RWA,2.528502842,7.17434302,8.279536723,-0.31121016,3.34787655,9.850399023,-0.391346748
Hungary,HUN,-0.06164468,0.394769307,2.348242812,2.850247926,3.338586354,3.326743858,5.110965344
Lao PDR,LAO,1.277354271,1.596912276,0.825478608,2.040392669,3.322558813,5.10407263,3.755620367
Bulgaria,BGR,-0.104633261,-0.798649886,2.061596194,2.814544738,3.103729448,1.672440969,3.297744353
Indonesia,IDN,6.36,3.53,3.81,3.2,3.03,1.92,1.56
Lower middle income,LMC,3.503035457,3.205224346,3.627096107,3.938826467,3.017988072,3.46841178,4.482234887
Iceland,ISL,1.633055582,1.69692762,1.760415592,2.682917683,3.013971792,2.847924015,4.444239702
Lebanon,LBN,-3.749145248,-0.783359624,4.321352183,6.076989079,3.005389494,84.86433305,154.756096
Middle East & North Africa (IDA & IBRD countries),TMN,1.557907113,2.738412087,4.321352183,4.462311085,3.005389494,2.415130941,5.706350208
China,CHN,1.44,2,1.59,2.07,2.9,2.42,0.98
Low income,LIC,5.410004196,6.035758582,8.156863234,4.092978193,2.86909425,5.931276366,7.88744302
Uganda,UGA,5.410004196,5.445758784,5.640931922,2.623975052,2.86909425,3.794422749,0
Czech Republic,CZE,0.309364548,0.683504209,2.450533985,2.149494949,2.847875959,3.161295285,3.839844915
Latvia,LVA,0.174242244,0.140633335,2.930363124,2.534454242,2.811409201,0.219064905,3.275829374
Vietnam,VNM,0.631200905,2.66824817,3.520256888,3.539628059,2.795823675,3.220934367,1.834715548
Mozambique,MOZ,3.550759674,17.41804182,15.11320739,3.9113344,2.781106312,3.141691294,0
