Date,Fed. Funds Rate,Discount Rate
2022/6/30,1.50%–1.75%,1.75%
2022/5/31,0.75%–1.00%,1.00%
2022/3/31,0.25%–0.50%,0.50%
2020/11/30,0%–0.25%,0.25%
2020/9/30,0%–0.25%,0.25%
2020/8/31,0%–0.25%,0.25%
2020/7/31,0%–0.25%,0.25%
2020/6/30,0%–0.25%,0.25%
2020/4/30,0%–0.25%,0.25%
2020/3/31,0%–0.25%,0.25%
2020/3/31,0%–0.25%,0.25%
2020/3/31,0%–0.25%,0.25%
2020/3/31,0%–0.25%,0.25%
2020/3/31,1%–1.25%,2.75%
2019/10/31,1.50%–1.75%,2.75%
2019/9/30,1.75%–2.00%,2.75%
2019/7/31,2.00%–2.25%,2.75%
2018/12/31,2.25%–2.50%,3.00%
2018/9/30,2.00%–2.25%,2.75%
2018/6/30,1.75%–2.00%,2.50%
2018/3/31,1.50%–1.75%,2.25%
2017/12/31,1.25%–1.50%,2.00%
2017/6/30,1.00%–1.25%,1.75%
2017/3/31,0.75%–1.00%,1.50%
2016/12/31,0.50%–0.75%,1.25%
2015/12/31,0.25%–0.50%,1.00%
2011/6/30,0.00%–0.25%,0.75%
